Mon, Jan 31, 2022	10	15	51	61	69	14	3X	$113 million
Sat, Jan 29, 2022	2	15	38	54	65	11	4X	$104 million
Wed, Jan 26, 2022	4	11	38	49	69	16	3X	$91 million
Mon, Jan 24, 2022	11	29	30	47	53	16	3X	$82 million
Sat, Jan 22, 2022	8	14	33	36	67	17	2X	$76 million
Wed, Jan 19, 2022	11	15	43	55	61	10	3X	$62 million
Mon, Jan 17, 2022	9	24	35	46	65	22	2X	$53 million
Sat, Jan 15, 2022	3	18	37	51	59	13	2X	$48 million
Wed, Jan 12, 2022	12	21	22	30	33	24	4X	$38 million
Mon, Jan 10, 2022	14	17	18	21	27	9	2X	$27 million
Sat, Jan 8, 2022	20	21	36	60	65	13	10X	$20 million
Wed, Jan 5, 2022	6	14	25	33	46	17	2X	$632.6 million
Mon, Jan 3, 2022	2	13	32	33	48	22	2X	$540 million
Sat, Jan 1, 2022	6	12	39	48	50	7	2X	$500 million
